Province,Weight,Value,Num. Transactions,Units,Month,Year,Av. Price
JAEN,0.79,1.39,1,360,2,20,1.7594936708860758
MADRID,0.5,1.36,1,400,2,20,2.72
MALAGA,600.35,1667.57,77,600346,2,20,2.7776630298992253
MURCIA,193.15,157.55,5,102545,2,20,0.81568728967124
RIOJA,210.07,218.39,17,119586,2,20,1.0396058456704909
SEVILLA,5432.2,9170.26,322,3636701,2,20,1.6881300393947205
TARRAGONA,0.12,0.32,1,120,2,20,2.666666666666667
ZARAGOZA,18.04,37.2,2,10120,2,20,2.062084257206209
ALICANTE,47.14,85.43,8,28968,3,20,1.8122613491726773
ALMERIA,8.9,23.64,1,8902,3,20,2.656179775280899
BADAJOZ,16.93,25.04,1,7257,3,20,1.4790313053750739
CACERES,116.79,104.48,6,57899,3,20,0.8945971401661101
CORDOBA,92.07,132.27,7,61445,3,20,1.4366243075920497
GIRONA,0.71,2.11,1,714,3,20,2.971830985915493
MADRID,1.5,4.07,1,950,3,20,2.7133333333333334
MALAGA,508.25,1507.97,71,507817,3,20,2.966984751598623
MURCIA,140.25,117.85,4,67746,3,20,0.8402852049910873
PONTEVEDRA,0.63,0.98,1,360,3,20,1.5555555555555556
RIOJA,117.28,204.02,8,68322,3,20,1.7395975443383356
SEVILLA,5405.06,9931.26,288,3663115,3,20,1.837400509892582
VALENCIA,0.61,5.0,1,583,3,20,8.19672131147541
VIZCAYA,11.48,49.23,1,5940,3,20,4.288327526132404
ALICANTE,257.01,459.23,21,160322,4,20,1.7868176335551147
ALMERIA,61.99,83.39,6,51072,4,20,1.3452169704791095
BADAJOZ,19.4,17.59,1,12320,4,20,0.9067010309278352
CASTELLON,2028.05,3102.69,88,1242393,4,20,1.5298883163630088
CORDOBA,31.96,59.36,3,22083,4,20,1.8573216520650813
MADRID,1.2,15.16,1,1200,4,20,12.633333333333335
MALAGA,418.54,1260.0,57,418434,4,20,3.0104649495866584
MURCIA,93.64,105.38,6,55600,4,20,1.1253737718923535
NAVARRA,0.34,1.21,1,342,4,20,3.5588235294117645
SEVILLA,3133.43,6395.06,238,2265568,4,20,2.040913631387968
ZARAGOZA,14.66,28.64,2,8792,4,20,1.9536152796725785
ALICANTE,221.16,393.22,26,134850,5,20,1.7779887863989874
ALMERIA,6.23,18.25,3,3608,5,20,2.9293739967897268
CACERES,16.19,17.67,1,7471,5,20,1.0914144533662755
CASTELLON,2052.19,2949.36,89,1248905,5,20,1.4371768695880986
CORDOBA,40.71,59.31,3,27042,5,20,1.4568901989683125
LLEIDA,0.15,0.69,1,81,5,20,4.6
MALAGA,600.69,1795.58,81,600688,5,20,2.9891957582113897
MURCIA,60.75,70.21,4,32710,5,20,1.1557201646090534
RIOJA,387.46,648.5,24,233350,5,20,1.6737211583131162
SEVILLA,2897.79,6632.7,250,2054880,5,20,2.2888822171378878
VIZCAYA,0.42,1.9,1,222,5,20,4.523809523809524
ZARAGOZA,0.68,2.32,2,312,5,20,3.4117647058823524
ALICANTE,216.76,398.37,20,135026,6,20,1.8378390847019745
ALMERIA,14.62,20.44,2,8544,6,20,1.3980848153214775
BADAJOZ,19.4,17.59,1,12320,6,20,0.9067010309278352
CASTELLON,2232.4,3205.82,98,1382150,6,20,1.436041927969898
CORDOBA,53.27,98.93,5,36805,6,20,1.8571428571428572
MALAGA,510.55,1478.57,58,510554,6,20,2.89603368915875
MURCIA,108.21,103.72,8,62216,6,20,0.9585066075224101
RIOJA,476.22,766.74,23,291456,6,20,1.610054176641048
SEVILLA,2960.24,7426.39,245,2171888,6,20,2.5087121314488017
TARRAGONA,0.12,0.32,1,120,6,20,2.666666666666667
VALENCIA,0.84,3.09,1,837,6,20,3.6785714285714284
